Threshold,Precision,Recall,Specificity
-23.195617929990316,0.008431817412210897,1.0,0.0
-23.153245571683385,0.008431960176766394,1.0,1.7075336384126766e-05
-23.11087321337645,0.008431960176766394,1.0,1.7075336384126766e-05
-23.06850085506952,0.008431960176766394,1.0,1.7075336384126766e-05
-23.02612849676259,0.008431960176766394,1.0,1.7075336384126766e-05
-22.983756138455657,0.008431960176766394,1.0,1.7075336384126766e-05
-22.941383780148723,0.008431960176766394,1.0,1.7075336384126766e-05
-22.89901142184179,0.008431960176766394,1.0,1.7075336384126766e-05
-22.85663906353486,0.008431960176766394,1.0,1.7075336384126766e-05
-22.814266705227926,0.008431960176766394,1.0,1.7075336384126766e-05
-22.771894346920995,0.008431960176766394,1.0,1.7075336384126766e-05
-22.729521988614064,0.008431960176766394,1.0,1.7075336384126766e-05
-22.687149630307132,0.008431960176766394,1.0,1.7075336384126766e-05
-22.644777272000198,0.008431960176766394,1.0,1.7075336384126766e-05
-22.602404913693267,0.008431960176766394,1.0,1.7075336384126766e-05
-22.560032555386336,0.008431960176766394,1.0,1.7075336384126766e-05
-22.5176601970794,0.008431960176766394,1.0,1.7075336384126766e-05
-22.47528783877247,0.008431960176766394,1.0,1.7075336384126766e-05
-22.43291548046554,0.008431960176766394,1.0,1.7075336384126766e-05
-22.390543122158608,0.008431960176766394,1.0,1.7075336384126766e-05
-22.348170763851673,0.008431960176766394,1.0,1.7075336384126766e-05
-22.305798405544742,0.008431960176766394,1.0,1.7075336384126766e-05
-22.26342604723781,0.008431960176766394,1.0,1.7075336384126766e-05
-22.22105368893088,0.008431960176766394,1.0,1.7075336384126766e-05
-22.178681330623945,0.008431960176766394,1.0,1.7075336384126766e-05
-22.136308972317014,0.008431960176766394,1.0,1.7075336384126766e-05
-22.093936614010083,0.008431960176766394,1.0,1.7075336384126766e-05
-22.05156425570315,0.008431960176766394,1.0,1.7075336384126766e-05
-22.009191897396217,0.008431960176766394,1.0,1.7075336384126766e-05
-21.966819539089286,0.008431960176766394,1.0,1.7075336384126766e-05
-21.924447180782355,0.008431960176766394,1.0,1.7075336384126766e-05
-21.88207482247542,0.008431960176766394,1.0,1.7075336384126766e-05
-21.83970246416849,0.008431960176766394,1.0,1.7075336384126766e-05
-21.79733010586156,0.008431960176766394,1.0,1.7075336384126766e-05
-21.754957747554624,0.00843210294615645,1.0,3.415067276825353e-05
-21.712585389247693,0.00843210294615645,1.0,3.415067276825353e-05
-21.67021303094076,0.00843210294615645,1.0,3.415067276825353e-05
-21.62784067263383,0.00843210294615645,1.0,3.415067276825353e-05
-21.585468314326896,0.00843210294615645,1.0,3.415067276825353e-05
