Threshold,Precision,Recall,Specificity
-51.190781166538436,0.00821170972875961,1.0,0.0
-51.15440265673261,0.008211848766529521,1.0,1.7071546852860337e-05
-51.118024146926786,0.008211848766529521,1.0,1.7071546852860337e-05
-51.08164563712096,0.008211848766529521,1.0,1.7071546852860337e-05
-51.04526712731513,0.008211848766529521,1.0,1.7071546852860337e-05
-51.0088886175093,0.008211848766529521,1.0,1.7071546852860337e-05
-50.97251010770348,0.008211848766529521,1.0,1.7071546852860337e-05
-50.93613159789765,0.008211848766529521,1.0,1.7071546852860337e-05
-50.89975308809182,0.008211848766529521,1.0,1.7071546852860337e-05
-50.863374578286,0.008211848766529521,1.0,1.7071546852860337e-05
-50.82699606848017,0.008211848766529521,1.0,1.7071546852860337e-05
-50.79061755867434,0.008211848766529521,1.0,1.7071546852860337e-05
-50.75423904886851,0.008211848766529521,1.0,1.7071546852860337e-05
-50.71786053906269,0.008211848766529521,1.0,1.7071546852860337e-05
-50.68148202925686,0.008211848766529521,1.0,1.7071546852860337e-05
-50.645103519451034,0.008211848766529521,1.0,1.7071546852860337e-05
-50.60872500964521,0.008211848766529521,1.0,1.7071546852860337e-05
-50.572346499839384,0.008211848766529521,1.0,1.7071546852860337e-05
-50.535967990033555,0.008211848766529521,1.0,1.7071546852860337e-05
-50.499589480227726,0.008211987809007788,1.0,3.4143093705720675e-05
-50.463210970421905,0.008211987809007788,1.0,3.4143093705720675e-05
-50.426832460616076,0.008212126856194654,1.0,5.121464055858101e-05
-50.39045395081025,0.008212126856194654,1.0,5.121464055858101e-05
-50.354075441004426,0.008212126856194654,1.0,5.121464055858101e-05
-50.3176969311986,0.008212126856194654,1.0,5.121464055858101e-05
-50.28131842139277,0.008212126856194654,1.0,5.121464055858101e-05
-50.24493991158694,0.008212126856194654,1.0,5.121464055858101e-05
-50.20856140178112,0.008212126856194654,1.0,5.121464055858101e-05
-50.17218289197529,0.008212126856194654,1.0,5.121464055858101e-05
-50.13580438216946,0.008212126856194654,1.0,5.121464055858101e-05
-50.09942587236364,0.008212126856194654,1.0,5.121464055858101e-05
-50.06304736255781,0.008212265908090351,1.0,6.828618741144135e-05
-50.02666885275198,0.008212265908090351,1.0,6.828618741144135e-05
-49.99029034294615,0.008212265908090351,1.0,6.828618741144135e-05
-49.95391183314033,0.008212265908090351,1.0,6.828618741144135e-05
-49.9175333233345,0.008212265908090351,1.0,6.828618741144135e-05
-49.881154813528674,0.008212265908090351,1.0,6.828618741144135e-05
-49.84477630372285,0.008212265908090351,1.0,6.828618741144135e-05
-49.808397793917024,0.008212265908090351,1.0,6.828618741144135e-05
-49.772019284111195,0.008212265908090351,1.0,6.828618741144135e-05
-49.73564077430537,0.008212265908090351,1.0,6.828618741144135e-05
-49.699262264499545,0.008212265908090351,1.0,6.828618741144135e-05
-49.662883754693716,0.008212265908090351,1.0,6.828618741144135e-05
-49.62650524488789,0.008212265908090351,1.0,6.828618741144135e-05
-49.590126735082066,0.008212265908090351,1.0,6.828618741144135e-05
-49.55374822527624,0.008212404964695125,1.0,8.53577342643017e-05
-49.51736971547041,0.008212404964695125,1.0,8.53577342643017e-05
-49.48099120566458,0.008212404964695125,1.0,8.53577342643017e-05
-49.44461269585876,0.008212404964695125,1.0,8.53577342643017e-05
-49.40823418605293,0.008212404964695125,1.0,8.53577342643017e-05
-49.3718556762471,0.008212404964695125,1.0,8.53577342643017e-05
-49.33547716644128,0.008212404964695125,1.0,8.53577342643017e-05
-49.29909865663545,0.008212404964695125,1.0,8.53577342643017e-05
-49.26272014682962,0.008212404964695125,1.0,8.53577342643017e-05
-49.22634163702379,0.008212404964695125,1.0,8.53577342643017e-05
-49.18996312721797,0.008212404964695125,1.0,8.53577342643017e-05
-49.15358461741214,0.008212404964695125,1.0,8.53577342643017e-05
-49.117206107606314,0.008212404964695125,1.0,8.53577342643017e-05
-49.08082759780049,0.008212404964695125,1.0,8.53577342643017e-05
-49.044449087994664,0.008212404964695125,1.0,8.53577342643017e-05
-49.008070578188835,0.008212404964695125,1.0,8.53577342643017e-05
-48.97169206838301,0.008212404964695125,1.0,8.53577342643017e-05
-48.935313558577185,0.008212404964695125,1.0,8.53577342643017e-05
-48.89893504877136,0.00821254402600921,1.0,0.00010242928111716202
-48.86255653896553,0.00821268309203285,1.0,0.00011950082797002237
-48.826178029159706,0.00821268309203285,1.0,0.00011950082797002237
-48.78979951935388,0.00821268309203285,1.0,0.00011950082797002237
-48.75342100954805,0.00821268309203285,1.0,0.00011950082797002237
-48.71704249974222,0.00821268309203285,1.0,0.00011950082797002237
-48.6806639899364,0.008212822162766281,1.0,0.0001365723748228827
-48.64428548013057,0.008212822162766281,1.0,0.0001365723748228827
-48.60790697032474,0.008212822162766281,1.0,0.0001365723748228827
-48.57152846051892,0.008212822162766281,1.0,0.0001365723748228827
-48.53514995071309,0.008212822162766281,1.0,0.0001365723748228827
-48.49877144090726,0.008212822162766281,1.0,0.0001365723748228827
-48.462392931101434,0.008212822162766281,1.0,0.0001365723748228827
-48.42601442129561,0.008212822162766281,1.0,0.0001365723748228827
-48.38963591148978,0.008212822162766281,1.0,0.0001365723748228827
-48.353257401683955,0.008212822162766281,1.0,0.0001365723748228827
-48.31687889187813,0.008212822162766281,1.0,0.0001365723748228827
-48.280500382072304,0.008212822162766281,1.0,0.0001365723748228827
-48.244121872266476,0.008212822162766281,1.0,0.0001365723748228827
-48.20774336246065,0.008212822162766281,1.0,0.0001365723748228827
-48.171364852654825,0.008212822162766281,1.0,0.0001365723748228827
-48.134986342849,0.008212822162766281,1.0,0.0001365723748228827
-48.09860783304317,0.008212822162766281,1.0,0.0001365723748228827
-48.06222932323735,0.008212822162766281,1.0,0.0001365723748228827
-48.02585081343152,0.008212822162766281,1.0,0.0001365723748228827
-47.98947230362569,0.008212822162766281,1.0,0.0001365723748228827
-47.95309379381986,0.008212822162766281,1.0,0.0001365723748228827
-47.91671528401404,0.008212822162766281,1.0,0.0001365723748228827
-47.88033677420821,0.008212961238209743,1.0,0.00015364392167574304
-47.84395826440238,0.008212961238209743,1.0,0.00015364392167574304
-47.80757975459656,0.008212961238209743,1.0,0.00015364392167574304
-47.77120124479073,0.008212961238209743,1.0,0.00015364392167574304
-47.7348227349849,0.008212961238209743,1.0,0.00015364392167574304
-47.698444225179074,0.008212961238209743,1.0,0.00015364392167574304
-47.66206571537325,0.008212961238209743,1.0,0.00015364392167574304
-47.625687205567424,0.008212961238209743,1.0,0.00015364392167574304
-47.589308695761595,0.008212961238209743,1.0,0.00015364392167574304
-47.55293018595577,0.008212961238209743,1.0,0.00015364392167574304
-47.516551676149945,0.008212961238209743,1.0,0.00015364392167574304
-47.480173166344116,0.008212961238209743,1.0,0.00015364392167574304
-47.44379465653829,0.008212961238209743,1.0,0.00015364392167574304
-47.407416146732466,0.008212961238209743,1.0,0.00015364392167574304
-47.37103763692664,0.008212961238209743,1.0,0.00015364392167574304
-47.33465912712081,0.008212961238209743,1.0,0.00015364392167574304
-47.29828061731499,0.008212961238209743,1.0,0.00015364392167574304
-47.26190210750916,0.008212961238209743,1.0,0.00015364392167574304
-47.22552359770333,0.008212961238209743,1.0,0.00015364392167574304
-47.1891450878975,0.008212961238209743,1.0,0.00015364392167574304
-47.15276657809168,0.008212961238209743,1.0,0.00015364392167574304
-47.11638806828585,0.008212961238209743,1.0,0.00015364392167574304
-47.08000955848002,0.008212961238209743,1.0,0.00015364392167574304
-47.0436310486742,0.008212961238209743,1.0,0.00015364392167574304
-47.00725253886837,0.008212961238209743,1.0,0.00015364392167574304
-46.97087402906254,0.008212961238209743,1.0,0.00015364392167574304
-46.934495519256714,0.008212961238209743,1.0,0.00015364392167574304
-46.89811700945089,0.008212961238209743,1.0,0.00015364392167574304
-46.861738499645064,0.008212961238209743,1.0,0.00015364392167574304
-46.825359989839235,0.008212961238209743,1.0,0.00015364392167574304
-46.788981480033414,0.008213100318363475,1.0,0.0001707154685286034
-46.752602970227585,0.008213100318363475,1.0,0.0001707154685286034
-46.716224460421756,0.008213100318363475,1.0,0.0001707154685286034
-46.67984595061593,0.008213100318363475,1.0,0.0001707154685286034
-46.643467440810106,0.008213100318363475,1.0,0.0001707154685286034
-46.60708893100428,0.008213100318363475,1.0,0.0001707154685286034
-46.57071042119845,0.008213100318363475,1.0,0.0001707154685286034
-46.53433191139263,0.008213100318363475,1.0,0.0001707154685286034
-46.4979534015868,0.008213100318363475,1.0,0.0001707154685286034
-46.46157489178097,0.00821323940322772,1.0,0.0001877870153814637
-46.42519638197514,0.00821323940322772,1.0,0.0001877870153814637
-46.38881787216932,0.00821323940322772,1.0,0.0001877870153814637
-46.35243936236349,0.00821323940322772,1.0,0.0001877870153814637
-46.31606085255766,0.00821323940322772,1.0,0.0001877870153814637
-46.27968234275184,0.00821323940322772,1.0,0.0001877870153814637
-46.24330383294601,0.00821323940322772,1.0,0.0001877870153814637
-46.20692532314018,0.00821323940322772,1.0,0.0001877870153814637
-46.170546813334354,0.00821323940322772,1.0,0.0001877870153814637
-46.13416830352853,0.00821323940322772,1.0,0.0001877870153814637
-46.097789793722704,0.00821323940322772,1.0,0.0001877870153814637
-46.061411283916875,0.00821323940322772,1.0,0.0001877870153814637
-46.025032774111054,0.00821323940322772,1.0,0.0001877870153814637
-45.988654264305225,0.00821323940322772,1.0,0.0001877870153814637
-45.9522757544994,0.00821323940322772,1.0,0.0001877870153814637
-45.91589724469357,0.00821323940322772,1.0,0.0001877870153814637
-45.879518734887746,0.00821323940322772,1.0,0.0001877870153814637
-45.84314022508192,0.00821323940322772,1.0,0.0001877870153814637
-45.80676171527609,0.00821323940322772,1.0,0.0001877870153814637
-45.77038320547027,0.00821323940322772,1.0,0.0001877870153814637
-45.73400469566444,0.00821323940322772,1.0,0.0001877870153814637
-45.69762618585861,0.008213378492802709,1.0,0.00020485856223432405
-45.66124767605278,0.008213378492802709,1.0,0.00020485856223432405
-45.62486916624696,0.008213378492802709,1.0,0.00020485856223432405
-45.58849065644113,0.008213517587088688,1.0,0.0002219301090871844
-45.5521121466353,0.008213517587088688,1.0,0.0002219301090871844
-45.51573363682948,0.008213517587088688,1.0,0.0002219301090871844
-45.47935512702365,0.008213517587088688,1.0,0.0002219301090871844
-45.44297661721782,0.008213517587088688,1.0,0.0002219301090871844
-45.406598107411995,0.008213656686085896,1.0,0.00023900165594004474
-45.37021959760617,0.008213795789794571,1.0,0.0002560732027929051
-45.333841087800344,0.008213795789794571,1.0,0.0002560732027929051
-45.297462577994516,0.008213795789794571,1.0,0.0002560732027929051
-45.261084068188694,0.008213795789794571,1.0,0.0002560732027929051
-45.224705558382865,0.008213795789794571,1.0,0.0002560732027929051
-45.18832704857704,0.008213795789794571,1.0,0.0002560732027929051
-45.15194853877121,0.008213795789794571,1.0,0.0002560732027929051
-45.11557002896539,0.008213795789794571,1.0,0.0002560732027929051
-45.07919151915956,0.008213795789794571,1.0,0.0002560732027929051
-45.04281300935373,0.008213795789794571,1.0,0.0002560732027929051
-45.00643449954791,0.008213795789794571,1.0,0.0002560732027929051
-44.97005598974208,0.008213795789794571,1.0,0.0002560732027929051
-44.93367747993625,0.008213795789794571,1.0,0.0002560732027929051
-44.89729897013042,0.008213795789794571,1.0,0.0002560732027929051
-44.8609204603246,0.008213795789794571,1.0,0.0002560732027929051
-44.82454195051877,0.008213795789794571,1.0,0.0002560732027929051
-44.78816344071294,0.008213795789794571,1.0,0.0002560732027929051
-44.75178493090712,0.008213795789794571,1.0,0.0002560732027929051
-44.71540642110129,0.008213795789794571,1.0,0.0002560732027929051
-44.679027911295464,0.008213795789794571,1.0,0.0002560732027929051
-44.642649401489635,0.008213795789794571,1.0,0.0002560732027929051
-44.60627089168381,0.008213934898214951,1.0,0.0002731447496457654
-44.569892381877985,0.008213934898214951,1.0,0.0002731447496457654
-44.533513872072156,0.008213934898214951,1.0,0.0002731447496457654
-44.497135362266334,0.008213934898214951,1.0,0.0002731447496457654
-44.460756852460506,0.008213934898214951,1.0,0.0002731447496457654
-44.42437834265468,0.008213934898214951,1.0,0.0002731447496457654
-44.38799983284885,0.008213934898214951,1.0,0.0002731447496457654
-44.35162132304303,0.008213934898214951,1.0,0.0002731447496457654
-44.3152428132372,0.008213934898214951,1.0,0.0002731447496457654
-44.27886430343137,0.008213934898214951,1.0,0.0002731447496457654
-44.24248579362555,0.008214074011347277,1.0,0.0002902162964986257
-44.20610728381972,0.008214074011347277,1.0,0.0002902162964986257
-44.16972877401389,0.008214074011347277,1.0,0.0002902162964986257
-44.13335026420806,0.008214074011347277,1.0,0.0002902162964986257
-44.09697175440224,0.008214074011347277,1.0,0.0002902162964986257
-44.06059324459641,0.008214213129191789,1.0,0.0003072878433514861
-44.02421473479058,0.008214213129191789,1.0,0.0003072878433514861
-43.98783622498476,0.008214352251748725,1.0,0.0003243593902043464
-43.95145771517893,0.008214352251748725,1.0,0.0003243593902043464
-43.915079205373104,0.008214352251748725,1.0,0.0003243593902043464
-43.878700695567275,0.008214352251748725,1.0,0.0003243593902043464
-43.842322185761454,0.008214491379018326,1.0,0.0003414309370572068
-43.805943675955625,0.008214491379018326,1.0,0.0003414309370572068
-43.769565166149796,0.008214491379018326,1.0,0.0003414309370572068
-43.733186656343975,0.008214491379018326,1.0,0.0003414309370572068
-43.696808146538146,0.008214491379018326,1.0,0.0003414309370572068
-43.66042963673232,0.008214491379018326,1.0,0.0003414309370572068
-43.62405112692649,0.008214491379018326,1.0,0.0003414309370572068
-43.58767261712067,0.008214491379018326,1.0,0.0003414309370572068
-43.55129410731484,0.00821463051100083,1.0,0.0003585024839100671
-43.51491559750901,0.008214769647696477,1.0,0.0003755740307629274
-43.47853708770319,0.008214769647696477,1.0,0.0003755740307629274
-43.44215857789736,0.008214769647696477,1.0,0.0003755740307629274
-43.40578006809153,0.008214769647696477,1.0,0.0003755740307629274
-43.3694015582857,0.008214769647696477,1.0,0.0003755740307629274
-43.33302304847988,0.008214908789105507,1.0,0.0003926455776157878
-43.29664453867405,0.008214908789105507,1.0,0.0003926455776157878
-43.26026602886822,0.008215047935228158,1.0,0.0004097171244686481
-43.2238875190624,0.008215047935228158,1.0,0.0004097171244686481
-43.18750900925657,0.008215047935228158,1.0,0.0004097171244686481
-43.151130499450744,0.008215187086064672,1.0,0.00042678867132150847
-43.114751989644915,0.008215187086064672,1.0,0.00042678867132150847
-43.078373479839094,0.008215187086064672,1.0,0.00042678867132150847
-43.041994970033265,0.008215187086064672,1.0,0.00042678867132150847
-43.005616460227444,0.008215187086064672,1.0,0.00042678867132150847
-42.969237950421615,0.008215187086064672,1.0,0.00042678867132150847
-42.932859440615786,0.008215187086064672,1.0,0.00042678867132150847
-42.89648093080996,0.008215187086064672,1.0,0.00042678867132150847
-42.86010242100413,0.008215326241615285,1.0,0.0004438602181743688
-42.82372391119831,0.008215326241615285,1.0,0.0004438602181743688
-42.78734540139248,0.008215326241615285,1.0,0.0004438602181743688
-42.75096689158666,0.008215604566859776,1.0,0.0004780033118800895
-42.71458838178083,0.008215604566859776,1.0,0.0004780033118800895
-42.678209871975,0.008215604566859776,1.0,0.0004780033118800895
-42.64183136216917,0.008215604566859776,1.0,0.0004780033118800895
-42.60545285236334,0.008215604566859776,1.0,0.0004780033118800895
-42.56907434255752,0.008215604566859776,1.0,0.0004780033118800895
-42.53269583275169,0.008215604566859776,1.0,0.0004780033118800895
-42.49631732294587,0.008215604566859776,1.0,0.0004780033118800895
-42.45993881314004,0.008215604566859776,1.0,0.0004780033118800895
-42.42356030333421,0.008215604566859776,1.0,0.0004780033118800895
-42.387181793528384,0.008215604566859776,1.0,0.0004780033118800895
-42.350803283722556,0.008215604566859776,1.0,0.0004780033118800895
-42.314424773916734,0.008215743736554131,1.0,0.0004950748587329498
-42.278046264110905,0.008215743736554131,1.0,0.0004950748587329498
-42.241667754305084,0.008215743736554131,1.0,0.0004950748587329498
-42.205289244499255,0.008215743736554131,1.0,0.0004950748587329498
-42.168910734693426,0.008215743736554131,1.0,0.0004950748587329498
-42.1325322248876,0.008215743736554131,1.0,0.0004950748587329498
-42.09615371508177,0.008215743736554131,1.0,0.0004950748587329498
-42.05977520527595,0.008215743736554131,1.0,0.0004950748587329498
-42.02339669547012,0.008216022090088258,1.0,0.0005292179524386705
-41.9870181856643,0.008216022090088258,1.0,0.0005292179524386705
-41.95063967585847,0.008216161273928511,1.0,0.0005462894992915308
-41.91426116605264,0.008216161273928511,1.0,0.0005462894992915308
-41.87788265624681,0.008216300462484541,1.0,0.0005633610461443911
-41.84150414644098,0.00821643965575659,1.0,0.0005804325929972514
-41.80512563663516,0.00821643965575659,1.0,0.0005804325929972514
-41.76874712682933,0.00821643965575659,1.0,0.0005804325929972514
-41.73236861702351,0.00821643965575659,1.0,0.0005804325929972514
-41.69599010721768,0.00821643965575659,1.0,0.0005804325929972514
-41.65961159741185,0.0082167180564497,1.0,0.0006145756867029722
-41.623233087606025,0.0082167180564497,1.0,0.0006145756867029722
-41.586854577800196,0.0082167180564497,1.0,0.0006145756867029722
-41.550476067994374,0.008216996476009758,1.0,0.0006487187804086928
-41.514097558188546,0.008216996476009758,1.0,0.0006487187804086928
-41.477719048382724,0.008217135692865493,1.0,0.0006657903272615531
-41.441340538576895,0.008217135692865493,1.0,0.0006657903272615531
-41.40496202877107,0.008217274914438685,1.0,0.0006828618741144135
-41.36858351896524,0.008217274914438685,1.0,0.0006828618741144135
-41.33220500915941,0.008217414140729571,1.0,0.0006999334209672739
-41.29582649935359,0.008217692607465393,1.0,0.0007340765146729945
-41.25944798954776,0.008217831847910808,1.0,0.0007511480615258548
-41.22306947974194,0.008217971093074877,1.0,0.0007682196083787152
-41.18669096993611,0.008217971093074877,1.0,0.0007682196083787152
-41.15031246013028,0.008217971093074877,1.0,0.0007682196083787152
-41.11393395032445,0.008217971093074877,1.0,0.0007682196083787152
-41.07755544051862,0.008217971093074877,1.0,0.0007682196083787152
-41.0411769307128,0.008218110342957842,1.0,0.0007852911552315756
-41.00479842090697,0.008218110342957842,1.0,0.0007852911552315756
-40.96841991110115,0.008218249597559943,1.0,0.0008023627020844359
-40.93204140129532,0.008218528120922509,1.0,0.0008365057957901565
-40.89566289148949,0.008218667389683455,1.0,0.0008535773426430169
-40.859284381683665,0.008218667389683455,1.0,0.0008535773426430169
-40.822905871877836,0.008218667389683455,1.0,0.0008535773426430169
-40.786527362072015,0.008218806663164494,1.0,0.0008706488894958773
-40.750148852266186,0.00821894594136587,1.0,0.0008877204363487376
-40.713770342460364,0.008219224511930585,1.0,0.0009218635300544582
-40.677391832654536,0.008219363804294406,1.0,0.0009389350769073185
-40.64101332284871,0.008219642403186171,1.0,0.0009730781706130393
-40.60463481304288,0.008219781709714595,1.0,0.0009901497174658997
-40.56825630323705,0.008219921020965035,1.0,0.00100722126431876
-40.53187779343123,0.008219921020965035,1.0,0.00100722126431876
-40.4954992836254,0.008219921020965035,1.0,0.00100722126431876
-40.45912077381958,0.008219921020965035,1.0,0.00100722126431876
-40.42274226401375,0.00822006033693773,1.0,0.0010242928111716203
-40.38636375420792,0.00822006033693773,1.0,0.0010242928111716203
-40.34998524440209,0.00822006033693773,1.0,0.0010242928111716203
-40.31360673459626,0.00822006033693773,1.0,0.0010242928111716203
-40.27722822479044,0.008220199657632921,1.0,0.0010413643580244806
-40.24084971498461,0.008220338983050848,1.0,0.001058435904877341
-40.20447120517879,0.008220617648055867,1.0,0.0010925789985830616
-40.16809269537296,0.008221035680989914,1.0,0.0011437936391416425
-40.131714185567134,0.008221314393233096,1.0,0.0011779367328473634
-40.095335675761305,0.008221314393233096,1.0,0.0011779367328473634
-40.058957165955476,0.008221453756441552,1.0,0.0011950082797002237
-40.022578656149655,0.008221453756441552,1.0,0.0011950082797002237
-39.986200146343826,0.008221453756441552,1.0,0.0011950082797002237
-39.949821636538005,0.008221732497033396,1.0,0.0012291513734059443
-39.913443126732176,0.008222150643362097,1.0,0.0012803660139645253
-39.87706461692635,0.008222150643362097,1.0,0.0012803660139645253
-39.84068610712052,0.008222150643362097,1.0,0.0012803660139645253
-39.80430759731469,0.008222290034923542,1.0,0.0012974375608173856
-39.76792908750887,0.008222847648435117,1.0,0.001365723748228827
-39.73155057770304,0.008222847648435117,1.0,0.001365723748228827
-39.69517206789722,0.008223126483553746,1.0,0.0013998668419345477
-39.65879355809139,0.008223684210526315,1.0,0.001468153029345989
-39.62241504828556,0.00822410255540671,1.0,0.00151936766990457
-39.58603653847973,0.008224242013158788,1.0,0.0015364392167574305
-39.5496580286739,0.008224242013158788,1.0,0.0015364392167574305
