Threshold,Precision,Recall,Specificity
-88.30083095448978,0.00821170972875961,1.0,0.0
-88.24325364698326,0.008211848766529521,1.0,1.7071546852860337e-05
-88.18567633947674,0.008211848766529521,1.0,1.7071546852860337e-05
-88.12809903197021,0.008211848766529521,1.0,1.7071546852860337e-05
-88.07052172446369,0.008211848766529521,1.0,1.7071546852860337e-05
-88.01294441695717,0.008211848766529521,1.0,1.7071546852860337e-05
-87.95536710945065,0.008211848766529521,1.0,1.7071546852860337e-05
-87.89778980194411,0.008211848766529521,1.0,1.7071546852860337e-05
-87.8402124944376,0.008211848766529521,1.0,1.7071546852860337e-05
-87.78263518693107,0.008211848766529521,1.0,1.7071546852860337e-05
-87.72505787942455,0.008211848766529521,1.0,1.7071546852860337e-05
-87.66748057191802,0.008211848766529521,1.0,1.7071546852860337e-05
-87.6099032644115,0.008211848766529521,1.0,1.7071546852860337e-05
-87.55232595690498,0.008211848766529521,1.0,1.7071546852860337e-05
-87.49474864939846,0.008211987809007788,1.0,3.4143093705720675e-05
-87.43717134189194,0.008211987809007788,1.0,3.4143093705720675e-05
-87.3795940343854,0.008211987809007788,1.0,3.4143093705720675e-05
-87.32201672687889,0.008211987809007788,1.0,3.4143093705720675e-05
-87.26443941937237,0.008211987809007788,1.0,3.4143093705720675e-05
-87.20686211186585,0.008211987809007788,1.0,3.4143093705720675e-05
-87.14928480435931,0.008211987809007788,1.0,3.4143093705720675e-05
-87.09170749685279,0.008211987809007788,1.0,3.4143093705720675e-05
-87.03413018934627,0.008211987809007788,1.0,3.4143093705720675e-05
-86.97655288183975,0.008211987809007788,1.0,3.4143093705720675e-05
-86.91897557433322,0.008211987809007788,1.0,3.4143093705720675e-05
-86.8613982668267,0.008211987809007788,1.0,3.4143093705720675e-05
-86.80382095932018,0.008211987809007788,1.0,3.4143093705720675e-05
-86.74624365181366,0.008211987809007788,1.0,3.4143093705720675e-05
-86.68866634430712,0.008211987809007788,1.0,3.4143093705720675e-05
-86.6310890368006,0.008211987809007788,1.0,3.4143093705720675e-05
-86.57351172929408,0.008211987809007788,1.0,3.4143093705720675e-05
-86.51593442178756,0.008211987809007788,1.0,3.4143093705720675e-05
-86.45835711428104,0.008211987809007788,1.0,3.4143093705720675e-05
-86.40077980677451,0.008211987809007788,1.0,3.4143093705720675e-05
-86.34320249926799,0.008211987809007788,1.0,3.4143093705720675e-05
-86.28562519176147,0.008211987809007788,1.0,3.4143093705720675e-05
-86.22804788425495,0.008211987809007788,1.0,3.4143093705720675e-05
-86.17047057674841,0.008211987809007788,1.0,3.4143093705720675e-05
-86.1128932692419,0.008211987809007788,1.0,3.4143093705720675e-05
-86.05531596173537,0.008211987809007788,1.0,3.4143093705720675e-05
-85.99773865422885,0.008211987809007788,1.0,3.4143093705720675e-05
-85.94016134672232,0.008211987809007788,1.0,3.4143093705720675e-05
-85.8825840392158,0.008211987809007788,1.0,3.4143093705720675e-05
-85.82500673170928,0.008211987809007788,1.0,3.4143093705720675e-05
-85.76742942420276,0.008211987809007788,1.0,3.4143093705720675e-05
-85.70985211669624,0.008211987809007788,1.0,3.4143093705720675e-05
-85.6522748091897,0.008211987809007788,1.0,3.4143093705720675e-05
-85.59469750168319,0.008211987809007788,1.0,3.4143093705720675e-05
-85.53712019417667,0.008211987809007788,1.0,3.4143093705720675e-05
-85.47954288667015,0.008211987809007788,1.0,3.4143093705720675e-05
-85.42196557916361,0.008211987809007788,1.0,3.4143093705720675e-05
-85.36438827165709,0.008211987809007788,1.0,3.4143093705720675e-05
-85.30681096415057,0.008211987809007788,1.0,3.4143093705720675e-05
-85.24923365664405,0.008211987809007788,1.0,3.4143093705720675e-05
-85.19165634913752,0.008212126856194654,1.0,5.121464055858101e-05
-85.134079041631,0.008212126856194654,1.0,5.121464055858101e-05
-85.07650173412448,0.008212265908090351,1.0,6.828618741144135e-05
-85.01892442661796,0.008212265908090351,1.0,6.828618741144135e-05
-84.96134711911142,0.008212265908090351,1.0,6.828618741144135e-05
-84.9037698116049,0.008212265908090351,1.0,6.828618741144135e-05
-84.84619250409838,0.008212265908090351,1.0,6.828618741144135e-05
-84.78861519659186,0.008212265908090351,1.0,6.828618741144135e-05
-84.73103788908534,0.008212265908090351,1.0,6.828618741144135e-05
-84.67346058157881,0.008212265908090351,1.0,6.828618741144135e-05
-84.61588327407229,0.008212265908090351,1.0,6.828618741144135e-05
-84.55830596656577,0.008212265908090351,1.0,6.828618741144135e-05
-84.50072865905925,0.008212265908090351,1.0,6.828618741144135e-05
-84.44315135155271,0.008212265908090351,1.0,6.828618741144135e-05
-84.3855740440462,0.008212265908090351,1.0,6.828618741144135e-05
-84.32799673653967,0.008212265908090351,1.0,6.828618741144135e-05
-84.27041942903315,0.008212265908090351,1.0,6.828618741144135e-05
-84.21284212152662,0.008212265908090351,1.0,6.828618741144135e-05
-84.1552648140201,0.008212265908090351,1.0,6.828618741144135e-05
-84.09768750651358,0.008212265908090351,1.0,6.828618741144135e-05
-84.04011019900706,0.008212265908090351,1.0,6.828618741144135e-05
-83.98253289150054,0.008212265908090351,1.0,6.828618741144135e-05
-83.924955583994,0.008212265908090351,1.0,6.828618741144135e-05
-83.86737827648749,0.008212265908090351,1.0,6.828618741144135e-05
-83.80980096898097,0.008212265908090351,1.0,6.828618741144135e-05
-83.75222366147445,0.008212265908090351,1.0,6.828618741144135e-05
-83.69464635396791,0.008212265908090351,1.0,6.828618741144135e-05
-83.63706904646139,0.008212265908090351,1.0,6.828618741144135e-05
-83.57949173895487,0.008212265908090351,1.0,6.828618741144135e-05
-83.52191443144835,0.008212265908090351,1.0,6.828618741144135e-05
-83.46433712394182,0.008212265908090351,1.0,6.828618741144135e-05
-83.4067598164353,0.008212265908090351,1.0,6.828618741144135e-05
-83.34918250892878,0.008212265908090351,1.0,6.828618741144135e-05
-83.29160520142226,0.008212265908090351,1.0,6.828618741144135e-05
-83.23402789391574,0.008212265908090351,1.0,6.828618741144135e-05
-83.1764505864092,0.008212265908090351,1.0,6.828618741144135e-05
-83.11887327890268,0.008212265908090351,1.0,6.828618741144135e-05
-83.06129597139616,0.008212265908090351,1.0,6.828618741144135e-05
-83.00371866388964,0.008212404964695125,1.0,8.53577342643017e-05
-82.94614135638311,0.008212404964695125,1.0,8.53577342643017e-05
-82.88856404887659,0.008212404964695125,1.0,8.53577342643017e-05
-82.83098674137007,0.008212404964695125,1.0,8.53577342643017e-05
-82.77340943386355,0.008212404964695125,1.0,8.53577342643017e-05
-82.71583212635701,0.008212404964695125,1.0,8.53577342643017e-05
-82.6582548188505,0.008212404964695125,1.0,8.53577342643017e-05
-82.60067751134397,0.008212404964695125,1.0,8.53577342643017e-05
-82.54310020383745,0.008212404964695125,1.0,8.53577342643017e-05
-82.48552289633093,0.008212404964695125,1.0,8.53577342643017e-05
-82.4279455888244,0.008212404964695125,1.0,8.53577342643017e-05
-82.37036828131788,0.008212404964695125,1.0,8.53577342643017e-05
-82.31279097381136,0.008212404964695125,1.0,8.53577342643017e-05
-82.25521366630484,0.008212404964695125,1.0,8.53577342643017e-05
-82.1976363587983,0.008212404964695125,1.0,8.53577342643017e-05
-82.14005905129179,0.008212404964695125,1.0,8.53577342643017e-05
-82.08248174378527,0.008212404964695125,1.0,8.53577342643017e-05
-82.02490443627875,0.008212404964695125,1.0,8.53577342643017e-05
-81.96732712877221,0.008212404964695125,1.0,8.53577342643017e-05
-81.90974982126569,0.008212404964695125,1.0,8.53577342643017e-05
-81.85217251375917,0.008212404964695125,1.0,8.53577342643017e-05
-81.79459520625265,0.008212404964695125,1.0,8.53577342643017e-05
-81.73701789874612,0.008212404964695125,1.0,8.53577342643017e-05
-81.6794405912396,0.008212404964695125,1.0,8.53577342643017e-05
-81.62186328373308,0.008212404964695125,1.0,8.53577342643017e-05
-81.56428597622656,0.008212404964695125,1.0,8.53577342643017e-05
-81.50670866872002,0.008212404964695125,1.0,8.53577342643017e-05
-81.4491313612135,0.008212404964695125,1.0,8.53577342643017e-05
-81.39155405370698,0.00821254402600921,1.0,0.00010242928111716202
-81.33397674620046,0.00821254402600921,1.0,0.00010242928111716202
-81.27639943869394,0.00821268309203285,1.0,0.00011950082797002237
-81.21882213118741,0.00821268309203285,1.0,0.00011950082797002237
-81.16124482368089,0.00821268309203285,1.0,0.00011950082797002237
-81.10366751617437,0.00821268309203285,1.0,0.00011950082797002237
-81.04609020866785,0.00821268309203285,1.0,0.00011950082797002237
-80.98851290116131,0.00821268309203285,1.0,0.00011950082797002237
-80.9309355936548,0.00821268309203285,1.0,0.00011950082797002237
-80.87335828614827,0.008212822162766281,1.0,0.0001365723748228827
-80.81578097864175,0.008212822162766281,1.0,0.0001365723748228827
-80.75820367113522,0.008212822162766281,1.0,0.0001365723748228827
-80.7006263636287,0.008212822162766281,1.0,0.0001365723748228827
-80.64304905612218,0.008212822162766281,1.0,0.0001365723748228827
-80.58547174861566,0.008212822162766281,1.0,0.0001365723748228827
-80.52789444110914,0.008212822162766281,1.0,0.0001365723748228827
-80.4703171336026,0.008212822162766281,1.0,0.0001365723748228827
-80.41273982609609,0.008212822162766281,1.0,0.0001365723748228827
-80.35516251858957,0.008212822162766281,1.0,0.0001365723748228827
-80.29758521108305,0.008212822162766281,1.0,0.0001365723748228827
-80.24000790357651,0.008212822162766281,1.0,0.0001365723748228827
-80.18243059606999,0.008212822162766281,1.0,0.0001365723748228827
-80.12485328856347,0.008212822162766281,1.0,0.0001365723748228827
-80.06727598105695,0.008212822162766281,1.0,0.0001365723748228827
-80.00969867355042,0.008212822162766281,1.0,0.0001365723748228827
-79.9521213660439,0.008212822162766281,1.0,0.0001365723748228827
-79.89454405853738,0.008212822162766281,1.0,0.0001365723748228827
-79.83696675103086,0.008212822162766281,1.0,0.0001365723748228827
-79.77938944352434,0.008212822162766281,1.0,0.0001365723748228827
-79.7218121360178,0.008212822162766281,1.0,0.0001365723748228827
-79.66423482851128,0.008212822162766281,1.0,0.0001365723748228827
-79.60665752100476,0.008212822162766281,1.0,0.0001365723748228827
-79.54908021349824,0.008212822162766281,1.0,0.0001365723748228827
-79.49150290599171,0.008212822162766281,1.0,0.0001365723748228827
-79.43392559848519,0.008212961238209743,1.0,0.00015364392167574304
-79.37634829097867,0.008212961238209743,1.0,0.00015364392167574304
-79.31877098347215,0.008212961238209743,1.0,0.00015364392167574304
-79.26119367596561,0.008212961238209743,1.0,0.00015364392167574304
-79.2036163684591,0.008212961238209743,1.0,0.00015364392167574304
-79.14603906095257,0.008212961238209743,1.0,0.00015364392167574304
-79.08846175344605,0.008212961238209743,1.0,0.00015364392167574304
-79.03088444593953,0.008212961238209743,1.0,0.00015364392167574304
-78.973307138433,0.008213100318363475,1.0,0.0001707154685286034
-78.91572983092648,0.008213100318363475,1.0,0.0001707154685286034
-78.85815252341996,0.008213100318363475,1.0,0.0001707154685286034
-78.80057521591344,0.008213100318363475,1.0,0.0001707154685286034
-78.7429979084069,0.008213100318363475,1.0,0.0001707154685286034
-78.68542060090039,0.008213100318363475,1.0,0.0001707154685286034
-78.62784329339387,0.008213100318363475,1.0,0.0001707154685286034
-78.57026598588735,0.008213100318363475,1.0,0.0001707154685286034
-78.51268867838081,0.008213100318363475,1.0,0.0001707154685286034
-78.45511137087429,0.008213100318363475,1.0,0.0001707154685286034
-78.39753406336777,0.008213100318363475,1.0,0.0001707154685286034
-78.33995675586125,0.008213100318363475,1.0,0.0001707154685286034
-78.28237944835473,0.008213100318363475,1.0,0.0001707154685286034
-78.2248021408482,0.008213100318363475,1.0,0.0001707154685286034
-78.16722483334168,0.008213100318363475,1.0,0.0001707154685286034
-78.10964752583516,0.008213100318363475,1.0,0.0001707154685286034
-78.05207021832862,0.008213100318363475,1.0,0.0001707154685286034
-77.9944929108221,0.008213100318363475,1.0,0.0001707154685286034
-77.93691560331558,0.008213100318363475,1.0,0.0001707154685286034
-77.87933829580906,0.008213100318363475,1.0,0.0001707154685286034
-77.82176098830254,0.008213100318363475,1.0,0.0001707154685286034
-77.76418368079601,0.008213100318363475,1.0,0.0001707154685286034
-77.70660637328949,0.008213100318363475,1.0,0.0001707154685286034
